company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,availability_next_week,availability_next_30days,availability_next_60days,availability_next_90days,availability_next_180days,calendar_link,calendar_script,regular_link,image_url
Coastal Cruises,coastalcruises,bookings@stpetecoastalcruises.com,727-380-0431,United States/Florida/South Pasadena,-82.732632,27.756189,285023,Island Sunset & Skyway Light Show (MarineMax Location),Boat Tour,8,85,40,3,11,25,40,80,https://fareharbor.com/embeds/calendar/coastalcruises/items/285023/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/coastalcruises/items/285023/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/coastalcruises/items/285023/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/N0wQrfunRmeWDweQv8qV
Beach Jetski LLC,clearwaterbeachwaverunnerrentals,clearwaterbeachwaverunners@gmail.com,1-727-445-7433,United States/Florida/Dunedin,-82.813461,28.059873,38463,1 Hour Freestyle,,5,84,540,42,180,360,540,1080,https://fareharbor.com/embeds/calendar/clearwaterbeachwaverunnerrentals/items/38463/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/clearwaterbeachwaverunnerrentals/items/38463/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/clearwaterbeachwaverunnerrentals/items/38463/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uzvIfUC5TViK7sQmFQkw
Get Up and Go Kayaking,getupandgokayaking,support@getupandgokayaking.com,407-783-8550,United States/Florida/Apopka,,,100042,Rock Springs Clear Kayak Tour,Guided Tour-Kayak-Water Activities,3,84,284,30,102,193,284,557,https://fareharbor.com/embeds/calendar/getupandgokayaking/items/100042/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getupandgokayaking/items/100042/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getupandgokayaking/items/100042/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/03fPHEXwRHiJBDwHhtGE
Beach Jetski LLC,clearwaterbeachwaverunnerrentals,clearwaterbeachwaverunners@gmail.com,1-727-445-7433,United States/Florida/Dunedin,-82.813461,28.059873,38407,Honeymoon Island Jet Ski Tour,,5,83,540,42,180,360,540,1080,https://fareharbor.com/embeds/calendar/clearwaterbeachwaverunnerrentals/items/38407/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/clearwaterbeachwaverunnerrentals/items/38407/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/clearwaterbeachwaverunnerrentals/items/38407/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jYeDewkzRva5jC1hxhxg
Wet Rental & Tours,getwetfl,info@getwetfl.com,+1 727 503 0700,United States/Florida/Clearwater,-82.828324,27.95345,446283,Jet Car Rental (1 Hour),Boat Rental,4,83,874,68,290,583,874,1748,https://fareharbor.com/embeds/calendar/getwetfl/items/446283/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getwetfl/items/446283/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getwetfl/items/446283/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ZGvCjwMYQxSK3f9U740c
Jones Brothers & Co,jonesairandsea,Fly@JonesAirAndSea.com,352-508-1800,United States/Florida/Tavares,,,265475,Gator Tour and Attractions,Air Tour,3,81,1617,126,546,1071,1617,3234,https://fareharbor.com/embeds/calendar/jonesairandsea/items/265475/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/jonesairandsea/items/265475/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/jonesairandsea/items/265475/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/y64yQkIvSEhxi7hudgEw
Jones Brothers & Co,jonesairandsea,Fly@JonesAirAndSea.com,352-508-1800,United States/Florida/Tavares,,,265480,St. Johns River and Springs,Air Tour,4,81,1617,126,546,1071,1617,3234,https://fareharbor.com/embeds/calendar/jonesairandsea/items/265480/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/jonesairandsea/items/265480/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/jonesairandsea/items/265480/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bWpfwlaR5GUdDuUETzpF
SoBe Surf & Paddle,sobesurf,info@sobesurf.com,(321) 926-6571,United States/Florida/Indian Harbour Beach,,,502328,Sunset Dolphin Bioluminescent Comb Jelly Tour Cocoa Beach Area,Dolphin-Water Activities,4,81,90,7,30,60,90,179,https://fareharbor.com/embeds/calendar/sobesurf/items/502328/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sobesurf/items/502328/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sobesurf/items/502328/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sdpYM4niTRmFnXj7cU6U
Beach Jetski LLC,clearwaterbeachwaverunnerrentals,clearwaterbeachwaverunners@gmail.com,1-727-445-7433,United States/Florida/Dunedin,-82.813461,28.059873,38476,2 Hour Dolphin Tour,,4,79,180,14,60,120,180,360,https://fareharbor.com/embeds/calendar/clearwaterbeachwaverunnerrentals/items/38476/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/clearwaterbeachwaverunnerrentals/items/38476/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/clearwaterbeachwaverunnerrentals/items/38476/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D1jeJud9RMmxIWS2idVJ
Clear Water Beach Jet Ski Rental - Makin Waves,clearwaterbeachjetski,makinwaves619@yahoo.com,+1(727) 446-9373,United States/Florida/Clearwater,,,620598,Honeymoon Island Jet Ski Tour,,5,79,180,14,60,120,180,360,https://fareharbor.com/embeds/calendar/clearwaterbeachjetski/items/620598/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/clearwaterbeachjetski/items/620598/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/clearwaterbeachjetski/items/620598/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1ZUgzDiR4iJfTu1VBEY7
Wet Rental & Tours,getwetfl,info@getwetfl.com,+1 727 503 0700,United States/Florida/Indian Rocks Beach,-82.847062,27.88303,473106,90 min Jet Ski Island Dolphin Excursion,,6,78,270,21,90,180,270,540,https://fareharbor.com/embeds/calendar/getwetfl/items/473106/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getwetfl/items/473106/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getwetfl/items/473106/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sKfNYFpEREeB9Sd2e4aK
Captain Clearwater,captainclearwater,capt.chris@captainclearwater.com,727-282-4772,United States/Florida/Belleair Bluffs,,,656205,4 Hour Cruise - Up To 6 People,Boat Rental-Boat Tour-Dolphin-Private-Sightseeing Tour-Water Activities-Wildlife,6,78,900,70,300,600,900,1810,https://fareharbor.com/embeds/calendar/captainclearwater/items/656205/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/captainclearwater/items/656205/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/captainclearwater/items/656205/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/MqUzT8iRSGN4Xm2S3O0f
Paddleboard New Smyrna,paddleboardnsb,info@paddleboardnsb.com,386-361-8008,United States/Florida/New Smyrna Beach,,,130955,One Hour Rental,SUP,3,77,468,36,153,306,468,918,https://fareharbor.com/embeds/calendar/paddleboardnsb/items/130955/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/paddleboardnsb/items/130955/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/paddleboardnsb/items/130955/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/BNHQvBKFQ9mvJbF9yJZS
Get Up and Go Kayaking - Crystal River,getupandgokayaking-crystalsprings,SupportWestFL@getupandgokayaking.com,(352) 676-7295,United States/Florida/Crystal River,,,132512,Crystal River Three Sisters Springs Tour,Eco Tour-Kayak-Water Activities,10,77,299,35,115,209,299,569,https://fareharbor.com/embeds/calendar/getupandgokayaking-crystalsprings/items/132512/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getupandgokayaking-crystalsprings/items/132512/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getupandgokayaking-crystalsprings/items/132512/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YLdkARETSnmxAFusXvS0
Cape Crossing Boat Rentals,capecrossing,chase@dolphinsrentals.com,321-877-5083,United States/Florida/Merritt Island,-80.70732,28.407025,247138,8 Passenger Pontoon Rentals,Boat Rental,6,77,180,14,60,120,180,360,https://fareharbor.com/embeds/calendar/capecrossing/items/247138/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/capecrossing/items/247138/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/capecrossing/items/247138/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/28l0cpaQ1q1uMpSJUV30
Cape Crossing Boat Rentals,capecrossing,chase@dolphinsrentals.com,321-877-5083,United States/Florida/Merritt Island,-80.70732,28.407025,247148,9.9HP 2-person Craigcat,Boat Rental,5,77,1440,112,480,960,1440,2880,https://fareharbor.com/embeds/calendar/capecrossing/items/247148/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/capecrossing/items/247148/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/capecrossing/items/247148/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XsdoWBP5SKCZRK8k4atY
Jones Brothers & Co,jonesairandsea,Fly@JonesAirAndSea.com,352-508-1800,United States/Florida/Tavares,,,265473,Harris Chain & River Run,Air Tour,3,77,1616,126,545,1070,1616,3233,https://fareharbor.com/embeds/calendar/jonesairandsea/items/265473/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/jonesairandsea/items/265473/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/jonesairandsea/items/265473/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/75hclYLBTSezFkgFkO6K
Go Local Manatee Tours,golocalmanateetours,golocalmanateetours@gmail.com,3522573181,United States/Florida/Crystal River,,,361609,Manatee Swim With Free Photos !,Snorkel,2,77,1028,84,344,680,1028,2104,https://fareharbor.com/embeds/calendar/golocalmanateetours/items/361609/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/golocalmanateetours/items/361609/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/golocalmanateetours/items/361609/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2CmUvoAgQF2sZy5O1WPr
Salty Siren Tours,saltysirentours,saltysirentours@gmail.com,1(352)794-1479,United States/Florida/Crystal River,-82.586136,28.894821,399768,Manatee In-Water Private Snorkel Tours,Boat Tour,1,77,525,39,168,345,525,1063,https://fareharbor.com/embeds/calendar/saltysirentours/items/399768/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/saltysirentours/items/399768/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/saltysirentours/items/399768/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/WqO0nCdkQsyEZbASGHuB
Silent Slayer Ghost Tours,silentslayertours,silentslayertours@gmail.com,727-686-1582,United States/Florida/Tarpon Springs,-82.758873,28.146237,445127,Tarpon Springs Ghost Tour,Ghost Tour-History Tour-Walking Tour,8,77,62,5,20,41,62,95,https://fareharbor.com/embeds/calendar/silentslayertours/items/445127/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/silentslayertours/items/445127/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/silentslayertours/items/445127/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Giraffe Ranch,girafferanch,info@girafferanch.com,(813) 482 3400,United States/Florida/Dade City,,,567057,The World's First Cybertruck Safari,,5,77,62,5,19,41,62,115,https://fareharbor.com/embeds/calendar/girafferanch/items/567057/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/girafferanch/items/567057/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/girafferanch/items/567057/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bjBimkvSQJWl0Mzg4WMv
